group,year,month,sampledate,Genus,TotalCellCount,FromGroup,TotalBiovolume,Chloro,CellBioVol,PerBioVol,InchesSnow,whiteice,blackice,totalice,# of Transects,Start XY,End XY,,,,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage,,,,,,
iceon,1997,1,1/14/97,iceon TotalCellCount,8828,8828,,1.3,,,11,26,11,37,,,,,,,,,,,,,,,,,
iceon,1997,1,1/14/97,iceon TotalBiovolume,,58814.8393,58814.8393,1.3,,,11,26,11,37,,,,,,,,,,,,,,,,,
iceon,1997,2,2/17/97,iceon TotalCellCount,352,352,,0.9,,,24.5,26,14,40,,,,,,,,,,,,,,,,,
iceon,1997,2,2/17/97,iceon TotalBiovolume,,1720.185234,1720.185234,0.9,,,24.5,26,14,40,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,iceoff TotalCellCount,1087,1087,,7.3,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,iceoff TotalBiovolume,,553601.7042,553601.7042,7.3,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,iceoff TotalCellCount,408,408,,1,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,iceoff TotalBiovolume,,120852.7877,120852.7877,1,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,iceoff TotalCellCount,1044,1044,,0.5,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,iceoff TotalBiovolume,,74003.74465,74003.74465,0.5,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,iceoff TotalCellCount,457,457,,1.8,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,iceoff TotalBiovolume,,128833.4606,128833.4606,1.8,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,2,2/23/98,iceon TotalCellCount,3217,3217,,0.7,,,0,11,24,35,,,,,,,,,,,,,,,,,
iceon,1998,2,2/23/98,iceon TotalBiovolume,,189107.2736,189107.2736,0.7,,,0,11,24,35,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,iceon TotalCellCount,384,384,,NA,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,iceon TotalBiovolume,,181669.4978,181669.4978,NA,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,iceoff TotalCellCount,1528,1528,,0.9,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,iceoff TotalBiovolume,,167909.7456,167909.7456,0.9,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,iceoff TotalCellCount,1644,1644,,0,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,iceoff TotalBiovolume,,204417.0737,204417.0737,0,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,iceoff TotalCellCount,1818,1818,,1,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,iceoff TotalBiovolume,,193824.5165,193824.5165,1,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,iceoff TotalCellCount,1008,1008,,3.9,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,iceoff TotalBiovolume,,147520.6467,147520.6467,3.9,,,,,,,,,,,,,,,,,,,,,,,
iceon,1999,2,2/23/99,iceoff TotalCellCount,461,461,,5.1,,,9,14,27,41,,,,,,,,,,,,,,,,,
iceon,1999,2,2/23/99,iceoff TotalBiovolume,,83274.68798,83274.68798,5.1,,,9,14,27,41,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,iceoff TotalCellCount,381,381,,3.3,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,iceoff TotalBiovolume,,227305.348,227305.348,3.3,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,iceoff TotalCellCount,314,314,,1.3,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,iceoff TotalBiovolume,,74952.73654,74952.73654,1.3,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,8,8/23/99,iceoff TotalCellCount,482,482,,1.7,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,8,8/23/99,iceoff TotalBiovolume,,58570.67871,58570.67871,1.7,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,11,11/10/99,iceoff TotalCellCount,404,404,,15.2,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,11,11/10/99,iceoff TotalBiovolume,,29393.12457,29393.12457,15.2,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,2,2/22/00,iceon TotalCellCount,77,77,,4.3,,,0,2,34,36,,,,,,,,,,,,,,,,,
iceon,2000,2,2/22/00,iceon TotalBiovolume,,19235.34559,19235.34559,4.3,,,0,2,34,36,,,,,,,,,,,,,,,,,
iceon,2000,4,4/6/00,iceon TotalCellCount,289,289,,10.9,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,4,4/6/00,iceon TotalBiovolume,,128642.492,128642.492,10.9,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,5,5/30/00,iceoff TotalCellCount,369,369,,0.7,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,5,5/30/00,iceoff TotalBiovolume,,306599.4631,306599.4631,0.7,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,7,7/26/00,iceoff TotalCellCount,254,254,,1.8,0,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,7,7/26/00,iceoff TotalBiovolume,,77778.75809,77778.75809,1.8,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,8,8/21/00,iceoff TotalCellCount,402.8,402.8,,NA,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,8,8/21/00,iceoff TotalBiovolume,,76589.00186,76589.00186,NA,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,11,11/16/00,iceoff TotalCellCount,275,275,,6,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,11,11/16/00,iceoff TotalBiovolume,,95748.80998,95748.80998,6,,,,,,,,,,,,,,,,,,,,,,,
iceon,2001,2,2/28/01,iceoff TotalCellCount,189,189,,2.2,,,15.7,23,21,22,,,,,,,,,,,,,,,,,
iceon,2001,2,2/28/01,iceoff TotalBiovolume,,21262.77994,21262.77994,2.2,,,15.7,23,21,22,,,,,,,,,,,,,,,,,
iceoff,2001,4,4/30/01,iceoff TotalCellCount,107,107,,11,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,4,4/30/01,iceoff TotalBiovolume,,28410.14551,28410.14551,11,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,5,5/29/01,iceoff TotalCellCount,174,174,,0.5,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,5,5/29/01,iceoff TotalBiovolume,,41235.72366,41235.72366,0.5,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,6,6/26/01,iceoff TotalCellCount,306,306,,1.1,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,6,6/26/01,iceoff TotalBiovolume,,134990.8154,134990.8154,1.1,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,7,7/24/01,iceoff TotalCellCount,82,82,,0.9,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,7,7/24/01,iceoff TotalBiovolume,,22145.11309,22145.11309,0.9,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,8,8/20/01,iceoff TotalCellCount,187,187,,1.2,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,8,8/20/01,iceoff TotalBiovolume,,29306.01224,29306.01224,1.2,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,11,11/15/01,iceoff TotalCellCount,486,486,,3.2,,,,,,,,,,,,,,,,,,,,,,,
